City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,ola,59.5833,151.2833,256.01,93,100,3.34,RU,1678563246
166,vigrestad,58.5667,5.7,271.97,56,100,9.98,NO,1678563248
167,sterling,39.0062,-77.4286,281.67,52,75,9.26,US,1678563248
168,homer,59.6425,-151.5483,274.84,41,0,1.54,US,1678563111
169,mazarron,37.5992,-1.3149,295.9,61,57,0.9,ES,1678563249
170,ornskoldsvik,63.2909,18.7153,263.68,85,13,1.54,SE,1678563249
171,aklavik,68.2191,-135.0107,253.15,77,40,2.06,CA,1678562748
172,buraydah,26.326,43.975,293.4,29,4,6.22,SA,1678563250
173,souillac,-20.5167,57.5167,299.36,83,40,3.09,MU,1678562754
174,san patricio,28.017,-97.5169,305.41,41,0,6.57,US,1678562729
175,savannah bight,16.45,-85.85,299.17,73,3,6.46,HN,1678563080
176,boulsa,12.6675,-0.5758,307.0,11,96,3.83,BF,1678563251
177,fortuna,40.5982,-124.1573,284.78,67,0,7.2,US,1678562419
178,rongcheng,30.634,117.8517,284.64,66,55,3.87,CN,1678563252
179,iqaluit,63.7506,-68.5145,254.0,78,20,1.54,CA,1678562665
180,petatlan,17.5167,-101.2667,303.04,50,1,3.64,MX,1678563252
181,batagay-alyta,67.8006,130.4114,242.72,93,60,2.68,RU,1678563253
182,petropavlovsk-kamchatskiy,53.0452,158.6483,261.48,85,40,4.0,RU,1678563086
183,emba,48.8264,58.1442,274.45,100,100,1.45,KZ,1678563253
184,kokstad,-30.5472,29.4241,288.84,99,100,1.58,ZA,1678563254
185,garowe,8.4054,48.4845,297.11,68,9,7.83,SO,1678562882
186,acapulco,16.8634,-99.8901,302.05,65,0,3.6,MX,1678563063
187,clyde river,70.4692,-68.5914,257.28,78,20,8.23,CA,1678562849
188,nishihara,26.1842,127.7558,291.75,88,40,3.09,JP,1678562684
189,cerro largo,-28.1486,-54.7381,310.6,21,0,3.55,BR,1678563255
190,banda aceh,5.5577,95.3222,299.03,82,99,1.03,ID,1678562703
191,kidal,18.4411,1.4078,305.13,10,36,2.4,ML,1678563256
192,lokosovo,61.1333,74.8167,265.39,86,100,10.36,RU,1678563256
193,hastings,50.8552,0.5729,279.7,45,100,5.88,GB,1678563257
194,yongzhou,26.4559,111.5988,292.41,65,100,8.48,CN,1678563257
195,raga,8.4596,25.678,300.85,14,15,2.29,SS,1678563258
196,berlevag,70.8578,29.0864,264.12,62,36,10.8,NO,1678563258
197,sosnovo-ozerskoye,52.5249,111.5418,249.05,94,24,1.24,RU,1678563259
198,westport,41.1415,-73.3579,279.99,65,100,6.69,US,1678562741
199,biltine,14.5333,20.9167,299.48,10,93,4.11,TD,1678563259
200,fort nelson,58.8053,-122.7002,259.79,53,20,2.24,CA,1678563260
201,nuuk,64.1835,-51.7216,272.49,69,40,2.57,GL,1678563260
202,maragogi,-9.0122,-35.2225,300.77,71,99,4.18,BR,1678563123
203,zeya,53.75,127.2667,260.54,97,100,0.73,RU,1678563261
204,qaqortoq,60.7167,-46.0333,271.85,73,6,2.67,GL,1678562742
205,grindavik,63.8424,-22.4338,264.41,45,0,11.32,IS,1678563261
206,vallenar,-28.5708,-70.7581,301.65,35,0,4.57,CL,1678563262
207,mount pleasant,32.7941,-79.8626,292.03,38,0,4.63,US,1678562964
208,fraga,41.5229,0.3489,293.44,52,41,10.91,ES,1678563262
209,auki,-8.7676,160.7034,298.17,81,100,1.35,SB,1678563263
210,tiquisate,14.2833,-91.3667,305.04,49,97,5.61,GT,1678563263
211,bahnea,46.3667,24.4833,276.47,68,49,6.69,RO,1678563264
212,jinxiang,27.4327,120.6062,288.93,78,79,1.8,CN,1678563264
213,bershet,57.7309,56.3783,264.74,96,9,1.5,RU,1678563265
214,pevek,69.7008,170.3133,242.05,100,63,4.38,RU,1678562843
215,hambantota,6.1241,81.1185,298.48,81,55,6.77,LK,1678563265
216,rio grande,-32.035,-52.0986,305.21,76,1,6.33,BR,1678563118
217,port-cartier,50.0334,-66.8654,275.27,70,20,0.63,CA,1678563266
218,dingle,10.9995,122.6711,296.38,87,10,3.05,PH,1678562728
219,flin flon,54.7682,-101.865,267.06,53,40,3.09,CA,1678563267
220,teguldet,57.3064,88.1667,273.27,99,100,4.3,RU,1678563267
221,yulara,-25.2406,130.9889,295.92,23,0,4.34,AU,1678562775
222,yar-sale,66.8333,70.8333,260.93,88,100,8.58,RU,1678563268
223,meulaboh,4.1363,96.1285,297.89,89,100,1.67,ID,1678562690
224,lompoc,34.6391,-120.4579,291.25,82,100,3.6,US,1678562739
225,chara,56.9064,118.2631,245.15,79,3,0.42,RU,1678562875
226,chuy,-33.6971,-53.4616,304.29,51,4,5.95,UY,1678562744
227,severo-kurilsk,50.6789,156.125,272.46,89,100,3.04,RU,1678562752
228,cidreira,-30.1811,-50.2056,299.67,75,98,5.68,BR,1678562704
229,husavik,66.0449,-17.3389,264.09,80,100,5.36,IS,1678562872
230,codrington,-38.2667,141.9667,286.83,93,92,2.13,AU,1678563271
231,port lincoln,-34.7333,135.8667,288.98,80,2,4.89,AU,1678562477
232,poyarkovo,49.6,128.6833,260.49,85,40,5.36,RU,1678563272
233,puerto penasco,31.3167,-113.5333,292.54,65,57,1.79,MX,1678563272
234,ampanihy,-24.7,44.75,296.25,78,77,2.52,MG,1678563273
235,gayny,60.3071,54.3241,259.21,98,50,1.85,RU,1678563273
236,cururupu,-1.8283,-44.8683,301.71,72,24,3.14,BR,1678562769
237,aktash,50.3,87.7333,263.15,69,99,3.67,RU,1678563274
238,lokomotivnyy,53.0118,60.5684,262.54,89,17,2.86,RU,1678563274
239,khatanga,71.9667,102.5,240.87,100,66,2.56,RU,1678563275
240,taoudenni,22.6783,-3.9836,305.19,9,0,7.22,ML,1678562676
241,kota tinggi,1.7381,103.8999,299.17,93,92,1.74,MY,1678563275
242,moron,-34.6534,-58.6198,312.09,36,0,3.87,AR,1678563276
243,isangel,-19.55,169.2667,298.14,72,1,4.84,VU,1678563251
244,tshela,-4.9833,12.9333,296.22,98,100,0.81,CD,1678563276
245,nanortalik,60.1432,-45.2371,273.36,74,38,1.73,GL,1678562699
246,naze,28.3667,129.4833,291.66,65,100,4.43,JP,1678563277
247,alice springs,-23.7,133.8833,288.9,41,0,0.0,AU,1678562779
248,sioux lookout,50.1001,-91.917,267.19,35,100,4.12,CA,1678562769
249,tambura,5.6,27.4667,300.21,45,68,1.81,SS,1678563278
250,kodinsk,58.6881,99.1844,264.32,99,100,1.92,RU,1678563278
251,rudnichnyy,59.617,52.4703,255.6,100,71,1.88,RU,1678563279
252,canandaigua,42.8742,-77.288,273.81,79,100,2.24,US,1678563276
253,baghdad,33.3406,44.4009,290.1,63,0,1.03,IQ,1678563138
254,tromso,69.6496,18.957,270.16,74,75,9.26,NO,1678563279
255,tahoua,14.8888,5.2692,307.14,13,98,2.06,NE,1678563280
256,amvrosiyivka,47.7935,38.4777,282.78,85,100,5.61,UA,1678563280
257,nizhniy kuranakh,58.8353,125.4869,255.74,97,100,2.56,RU,1678563281
258,provideniya,64.3833,-173.3,263.92,96,100,1.15,RU,1678562722
259,norman wells,65.282,-126.8329,250.17,77,75,1.03,CA,1678562694
260,gander,48.9682,-54.5906,273.22,100,100,12.35,CA,1678563281
261,mizdah,31.4451,12.9801,292.02,34,1,3.37,LY,1678563282
262,gold coast,-28.0,153.4333,298.25,98,100,2.06,AU,1678563282
263,sokoni,-6.4333,39.55,301.07,75,100,6.56,TZ,1678563283
264,klaksvik,62.2266,-6.589,267.66,50,100,4.76,FO,1678563283
265,antsohihy,-14.8796,47.9875,297.27,90,80,0.69,MG,1678563283
266,mega,4.05,38.3,291.12,56,18,2.23,ET,1678563284
267,katobu,-4.9408,122.5276,296.94,91,99,0.64,ID,1678562696
268,flinders,-34.5833,150.8552,293.92,83,75,3.68,AU,1678563285
269,filadelfia,39.9523,-75.1638,280.16,78,100,6.69,US,1678563219
270,kochki,54.3358,80.4806,273.71,98,100,5.84,RU,1678563285
271,abu kamal,34.4506,40.9171,292.46,26,83,6.87,SY,1678563286
272,waingapu,-9.6567,120.2641,297.86,86,24,2.61,ID,1678563286
273,tonantins,-2.8731,-67.8022,297.0,95,100,0.95,BR,1678563287
274,adrar,20.5022,-10.0711,302.38,7,0,5.24,MR,1678562755
275,adrian,41.8975,-84.0372,276.75,67,100,1.79,US,1678563287
276,novosokolniki,56.3463,30.1578,274.65,100,100,4.19,RU,1678563288
277,weymouth,42.2209,-70.9398,277.23,89,100,9.77,US,1678563288
278,faanui,-16.4833,-151.75,300.86,78,96,8.54,PF,1678562843
279,cherskiy,68.75,161.3,245.01,93,20,3.92,RU,1678562715
280,guerrero negro,27.9769,-114.0611,293.75,62,0,8.76,MX,1678562782
281,concarneau,47.875,-3.9225,285.59,83,100,6.45,FR,1678563289
282,vredendal,-31.6683,18.5012,290.02,66,0,5.16,ZA,1678563290
283,selma,36.5708,-119.6121,292.54,89,100,3.6,US,1678563290
284,charters towers,-20.1,146.2667,296.74,80,1,3.2,AU,1678563290
285,mkushi,-13.6202,29.3939,291.29,94,100,1.47,ZM,1678563291
286,miandrivazo,-19.5167,45.4667,297.89,90,100,1.04,MG,1678563291
